|6.6.6
continental_crust_1.tab                                                                             
           2
T(K)    
   273.00000000000000     
   19.576923076923077     
          79
P(bar)  
   1.0000000000000000     
   1282.0384615384614     
          79
           8
T(K)           P(bar)         rho,kg/m3      alpha,1/K      cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        
  273.000        1.00000        2929.42       0.231292E-004   713.135        6.22169        2.98880      -0.134854E+008
  292.577        1.00000        2868.39       0.255321E-004   750.632        6.12105        2.94046      -0.134671E+008
  312.154        1.00000        2860.25       0.284431E-004   789.660        5.83766        2.80432      -0.134472E+008
  331.731        1.00000        2813.68       0.304899E-004   823.912        5.61636        2.69801      -0.134248E+008
  351.308        1.00000        2807.67       0.313034E-004   851.766        5.58473        2.68282      -0.134075E+008
  370.885        1.00000        2795.60       0.319926E-004   877.136        5.48068        2.63283      -0.133879E+008
  390.462        1.00000        2791.96       0.326300E-004   900.635        5.46709        2.62630      -0.133704E+008
  410.038        1.00000        2788.86       0.332609E-004   922.118        5.45414        2.62008      -0.133524E+008
  429.615        1.00000        2786.11       0.338921E-004   941.866        5.44148        2.61400      -0.133341E+008
  449.192        1.00000        2780.16       0.339205E-004   959.558        5.43606        2.61140      -0.133149E+008
  468.769        1.00000        2776.05       0.341556E-004   976.224        5.42944        2.60822      -0.132956E+008
  488.346        1.00000        2774.36       0.347338E-004   991.930        5.41700        2.60224      -0.132762E+008
  507.923        1.00000        2772.63       0.353792E-004   1006.74        5.40854        2.59818      -0.132566E+008
  527.500        1.00000        2729.79       0.335764E-004   1018.24        5.43212        2.60951      -0.132316E+008
  547.077        1.00000        2736.69       0.357656E-004   1030.96        5.39373        2.59107      -0.132102E+008
  566.654        1.00000        2735.44       0.364784E-004   1043.22        5.38125        2.58507      -0.131893E+008
  586.231        1.00000        2734.29       0.372334E-004   1054.85        5.36821        2.57880      -0.131682E+008
  605.808        1.00000        2733.22       0.380413E-004   1065.94        5.35449        2.57221      -0.131467E+008
  625.385        1.00000        2732.25       0.389153E-004   1076.56        5.33988        2.56520      -0.131249E+008
  644.962        1.00000        2742.84       0.374309E-004   1086.54        5.47292        2.62910      -0.131015E+008
  664.538        1.00000        2752.90       0.357704E-004   1097.40        5.60594        2.69300      -0.130776E+008
  684.115        1.00000        2748.70       0.359123E-004   1097.71        5.56051        2.67118      -0.130409E+008
  703.692        1.00000        2746.73       0.373222E-004   1111.64        5.53741        2.66008      -0.130187E+008
  723.269        1.00000        2744.65       0.410281E-004   1154.30        5.50940        2.64663      -0.129962E+008
  742.846        1.00000        2742.44       0.381955E-004   1104.61        5.48594        2.63536      -0.129738E+008
  762.423        1.00000        2740.25       0.401100E-004   1112.77        5.45169        2.61891      -0.129519E+008
  782.000        1.00000        2737.92       0.428620E-004   1122.39        5.40773        2.59779      -0.129298E+008
  801.577        1.00000        2735.41       0.471925E-004   1134.02        5.34683        2.56853      -0.129076E+008
  821.154        1.00000        2732.57       0.556726E-004   1151.04        5.24909        2.52158      -0.128850E+008
  840.731        1.00000        2728.83       0.904595E-004   1203.42        5.00815        2.40584      -0.128619E+008
  860.308        1.00000        2725.17       0.213151E-004   1117.93        5.97941        2.87241      -0.128387E+008
  879.885        1.00000        2723.93       0.214157E-004   1122.89                 NaN            NaN -0.128166E+008
  899.462        1.00000        2722.67       0.215165E-004   1127.69        5.97037        2.86807      -0.127943E+008
  919.038        1.00000        2721.42       0.216175E-004   1132.33                 NaN            NaN -0.127720E+008
