|6.6.6
harz_wet_1.tab                                                                                      
           2
T(K)    
   273.00000000000000     
   17.012820512820515     
          79
P(bar)  
   1.0000000000000000     
   1282.0384615384614     
          79
           9
T(K)           P(bar)         rho,kg/m3      alpha,1/K      beta,1/bar     cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        
  273.000        1.00000        2962.88       0.220785E-004  0.172611E-005   790.142        5.60743        2.69372      -0.132010E+008
  290.013        1.00000        2961.74       0.229102E-004  0.172962E-005   829.177        5.60400        2.69207      -0.131872E+008
  307.026        1.00000        2960.56       0.236468E-004  0.173325E-005   863.569        5.60041        2.69035      -0.131728E+008
  324.038        1.00000        2959.32       0.243027E-004  0.173704E-005   894.131        5.59665        2.68854      -0.131577E+008
  341.051        1.00000        2958.08       0.248902E-004  0.174091E-005   921.518        5.59278        2.68668      -0.131423E+008
  358.064        1.00000        2956.79       0.254192E-004  0.174491E-005   946.213        5.58876        2.68475      -0.131263E+008
  375.077        1.00000        2955.48       0.258982E-004  0.174900E-005   968.629        5.58463        2.68277      -0.131099E+008
  392.090        1.00000        2954.13       0.263343E-004  0.175320E-005   989.081        5.58039        2.68073      -0.130931E+008
  409.103        1.00000        2952.77       0.267336E-004  0.175747E-005   1007.84        5.57606        2.67865      -0.130760E+008
  426.115        1.00000        2951.36       0.271007E-004  0.176186E-005   1025.12        5.57163        2.67652      -0.130585E+008
  443.128        1.00000        2949.97       0.274406E-004  0.176627E-005   1041.12        5.56714        2.67437      -0.130408E+008
  460.141        1.00000        2948.53       0.277562E-004  0.177078E-005   1055.96        5.56257        2.67217      -0.130228E+008
  477.154        1.00000        2947.08       0.280508E-004  0.177536E-005   1069.80        5.55794        2.66995      -0.130045E+008
  494.167        1.00000        2945.60       0.283268E-004  0.178002E-005   1082.73        5.55324        2.66769      -0.129859E+008
  511.179        1.00000        2944.12       0.285869E-004  0.178473E-005   1094.86        5.54849        2.66541      -0.129672E+008
  528.192        1.00000        3063.35       0.271862E-004  0.175585E-005   1062.01        5.60807        2.69403      -0.129358E+008
  545.205        1.00000        3061.87       0.273908E-004  0.176003E-005   1071.96        5.60405        2.69210      -0.129175E+008
  562.218        1.00000        3190.19       0.306531E-004  0.135538E-005   1070.11        6.13600        2.94764      -0.128792E+008
  579.231        1.00000        3228.48       0.313224E-004  0.123776E-005   1072.51        6.31026        3.03135      -0.128538E+008
  596.244        1.00000        3316.54       0.325566E-004  0.968423E-006   1069.00        6.78606        3.25992      -0.128206E+008
  613.256        1.00000        3314.69       0.327832E-004  0.972031E-006   1077.91        6.77760        3.25585      -0.128023E+008
  630.269        1.00000        3312.84       0.330036E-004  0.975681E-006   1086.41        6.76908        3.25176      -0.127839E+008
  647.282        1.00000        3310.97       0.332185E-004  0.979374E-006   1094.52        6.76049        3.24763      -0.127653E+008
  664.295        1.00000        3309.09       0.334285E-004  0.983109E-006   1102.28        6.75184        3.24348      -0.127466E+008
  681.308        1.00000        3307.20       0.336342E-004  0.986886E-006   1109.71        6.74313        3.23929      -0.127278E+008
  698.321        1.00000        3305.30       0.338361E-004  0.990706E-006   1116.82        6.73436        3.23508      -0.127089E+008
  715.333        1.00000        3303.39       0.340347E-004  0.994569E-006   1123.64        6.72554        3.23084      -0.126898E+008
  732.346        1.00000        3301.48       0.342304E-004  0.998474E-006   1130.19        6.71666        3.22658      -0.126707E+008
  749.359        1.00000        3299.55       0.344236E-004  0.100242E-005   1136.48        6.70773        3.22229      -0.126514E+008
  766.372        1.00000        3297.61       0.346146E-004  0.100641E-005   1142.53        6.69875        3.21798      -0.126320E+008
  783.385        1.00000        3295.66       0.348037E-004  0.101045E-005   1148.35        6.68972        3.21364      -0.126125E+008
  800.397        1.00000        3293.70       0.349912E-004  0.101452E-005   1153.96        6.68065        3.20928      -0.125929E+008
  817.410        1.00000        3291.74       0.351773E-004  0.101865E-005   1159.37        6.67152        3.20489      -0.125732E+008
  834.423        1.00000        3289.76       0.353624E-004  0.102281E-005   1164.60        6.66235        3.20049      -0.125535E+008
  851.436        1.00000        3287.77       0.355465E-004  0.102702E-005   1169.64        6.65313        3.19606      -0.125336E+008
  868.449        1.00000        3285.78       0.357298E-004  0.103128E-005   1174.52        6.64387        3.19161      -0.125137E+008
  885.462        1.00000        3283.78       0.359126E-004  0.103558E-005   1179.24        6.63456        3.18714      -0.124937E+008
  902.474        1.00000        3281.77       0.360951E-004  0.103992E-005   1183.81        6.62521        3.18265      -0.124736E+008
  919.487        1.00000        3279.74       0.362772E-004  0.104432E-005   1188.24        6.61581        3.17813      -0.124534E+008
  936.500        1.00000        3277.71       0.364593E-004  0.104876E-005   1192.54        6.60638        3.17360      -0.124331E+008
  953.513        1.00000        3275.67       0.366414E-004  0.105324E-005   1196.71        6.59690        3.16905      -0.124128E+008
  970.526        1.00000        3273.63       0.368237E-004  0.105778E-005   1200.76        6.58737        3.16447      -0.123924E+008
  987.538        1.00000        3271.57       0.370062E-004  0.106236E-005   1204.69        6.57781        3.15988      -0.123719E+008
  1004.55        1.00000        3269.50       0.371891E-004  0.106699E-005   1208.51        6.56820        3.15526      -0.123514E+008
  1021.56        1.00000        3267.43       0.373725E-004  0.107168E-005   1212.23        6.55856        3.15063      -0.123308E+008
  1038.58        1.00000        3265.35       0.375565E-004  0.107641E-005   1215.85        6.54887        3.14598      -0.123102E+008
  1055.59        1.00000        3263.25       0.377411E-004  0.108120E-005   1219.38        6.53914        3.14130      -0.122895E+008
  1072.60        1.00000        3261.15       0.379264E-004  0.108603E-005   1222.81        6.52937        3.13661      -0.122687E+008
  1089.62        1.00000        3259.04       0.381126E-004  0.109092E-005   1226.16        6.51956        3.13190      -0.122478E+008
  1106.63        1.00000        3256.92       0.382997E-004  0.109587E-005   1229.43        6.50971        3.12717      -0.122270E+008
  1123.64        1.00000        3254.80       0.384878E-004  0.110086E-005   1232.61        6.49982        3.12241      -0.122060E+008
  1140.65        1.00000        3252.66       0.386769E-004  0.110592E-005   1235.72        6.48989        3.11764      -0.121850E+008
  1157.67        1.00000        3250.51       0.388672E-004  0.111102E-005   1238.75        6.47992        3.11285      -0.121640E+008
  1174.68        1.00000        3248.36       0.390586E-004  0.111619E-005   1241.72        6.46991        3.10804      -0.121429E+008
  1191.69        1.00000        3246.19       0.392513E-004  0.112141E-005   1244.61        6.45986        3.10322      -0.121217E+008
  1208.71        1.00000        3244.02       0.394454E-004  0.112670E-005   1247.44        6.44977        3.09837      -0.121005E+008
  1225.72        1.00000        3241.83       0.396408E-004  0.113204E-005   1250.21        6.43964        3.09350      -0.120793E+008
  1242.73        1.00000        3239.64       0.398376E-004  0.113744E-005   1252.92        6.42947        3.08862      -0.120580E+008
  1259.74        1.00000        3237.44       0.400360E-004  0.114290E-005   1255.57        6.41925        3.08371      -0.120366E+008
  1276.76        1.00000        3235.23       0.402360E-004  0.114843E-005   1258.16        6.40900        3.07878      -0.120153E+008
  1293.77        1.00000        3233.01       0.404375E-004  0.115402E-005   1260.70        6.39871        3.07384      -0.119938E+008
  1310.78        1.00000        3230.78       0.406408E-004  0.115968E-005   1263.18        6.38838        3.06888      -0.119724E+008
